,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
118,tz2FCNBrERXtaTtNX6iimR1UJ5JSDxvdHM93,1243,19,32480,2903561950626.0,405000000000.0,1.0,normal
119,tz1XjkawXMmtKU5cwUxxMMYtvvph9J2sPMcm,1542,3,44748,8177776365.0,80815516.0,1.0,normal
120,tz1hTJnYMKSDUv55yREM8ezmC5nsdbPUWao7,1770,9,153531,228738471228.0,211454308.0,1.0,normal
121,KT198mqFKkiWerXLmMCw69YB1i6yzYtmGVrC,3,8045,123290,358770381909.0,4757025000.0,0.0,normal
122,KT18p94vjkkHYY3nPmernmgVR7HdZFzE7NAk,7735,14442,311372,2455800.0,2455800.0,0.0,normal
123,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,36307,45642,2144876,10173230868981.0,32375000000.0,0.0,normal
124,KT1DzGefKWdrwWn9HxcYtKR46todiC66bxsH,1447,5,80695,923708839672.0,80218340019.0,1.0,normal
125,tz1bGsPjPqEscSKoFMDJ1dz6Nwcjrw9Yp5wU,181,73,60527,792306297964.0,1800000000.0,0.0,normal
126,KT1LzyPS8rN375tC31WPAVHaQ4HyBvTSLwBu,1649,2755,67632,1749852948455.0,18263555956.0,0.0,normal
127,KT1LXVbM8Lhf5HV3C5ebhQWp4H1rezMCfMKz,365,4,49065,1125077494511397.0,1346829137346.0,0.0,normal
128,tz1R6mtcAQwBTK9YpSqRL9y2a6JZWgDkBm6M,729,202,71431,219687270228.0,1217528981.0,0.0,normal
129,KT1MFfBe4EtzDofUcfeBmNShJPesY4HhfjMC,3,13,108911,0.0,0.0,0.0,normal
130,tz1fpwzMJ9dqrj6dUGa1uTs7WxT2eoe15J6u,25,21,32179,47537935573990.0,9185019279.0,0.0,normal
131,tz1ayi65xaHcyq8cewc1ztcv5SEDQFyhQZfd,338,54,38582,41355119344.0,1244000000.0,0.0,normal
132,KT1AEVuykWeuuFX7QkEAMNtffzwhe1Z98hJS,1192,9227,806420,797659502939.0,97500000.0,0.0,normal
133,KT1MRMsyWYCwf2ex2wN4yuihJbNykCDHdRTT,232,285,39059,1733511518206.0,113384819751.0,0.0,normal
134,tz1a17ZmuN3yrnFHFyxyxovhVKuoP5YuCdr8,121,52,84362,1393949396558.0,2503000000.0,0.0,normal
135,KT1HaDP8fRW7kavK2beST7o4RvzuvZbn5VwV,10,563,38351,0.0,0.0,0.0,normal
136,tz1a6fbh6LwnvMo2LYFUtqNxGXoaMg63kfTh,400,170,59517,1970686539334.0,50000000000.0,0.0,normal
137,tz1QSbd179w1Xp9WTaCwcBt4xxvBpZEtxbxJ,33,10,158739,1455419897.0,194815348.0,0.0,normal
138,tz1g4o4a2wxpzJ7EgG3onFM5TLaPyiRFjFhL,2176,10,124973,924104472633.0,3000000000.0,1.0,normal
139,KT1R6d6bqeSrkHPoxjsgkKtQEb4LpWS6SDXg,386,282,59779,1549395894666.0,4308261299.0,0.0,normal
140,KT1VSjJxNq98AkPfVktpCv82hacrvgkb6hEu,298,401,39928,284865241493.0,3937468929.0,0.0,normal
141,tz1NS1BF1kEz4EDNofXF7VGQ3aSXGYFz1v6a,78555,3,126776,104410053.0,47490000.0,1.0,normal
142,KT1F5xwsUPtGoFYCNi5pU6txLwoLcSY76Trt,1,1,54380,0.0,0.0,0.0,normal
143,KT1UNBvCJXiwJY6tmHM7CJUVwNPew53XkSfh,12,1343,56722,0.0,0.0,0.0,normal
144,tz1iuZ76cLaaca8Dh4soYEHjYeVb5vHmmP5Z,858,4,120351,276607840600.0,4633000000.0,1.0,normal
145,tz1NcoDFXMAfB26mpBhVrdSHmppyTeccT6Fi,31331,17305,54029,207181331640360.0,1106359618007.0,8.0,normal
146,KT1PHubm9HtyQEJ4BBpMTVomq6mhbfNZ9z5w,6507,18587,843207,508516672079.0,4500000000.0,0.0,normal
147,KT1H25LW5k4HQGm9hmNXzaxf3nqjsAEhQPah,1848,3,30772,154687787493.0,3085346446.0,0.0,normal
148,KT1TR4qabnDU6aAUym6nauSGaRwJpoKU3efP,1,3120,35441,0.0,0.0,0.0,normal
149,KT1LpGZnT6dj6STSxHXmvSPqx39ZdPXAMpFz,1848,3,30776,154929411856.0,3085346446.0,0.0,normal
150,KT1BB3oNr5vUSw1CuPNb2zpYEVp376XrXWaJ,1850,2,30746,154650998096.0,3085346447.0,0.0,normal
151,KT1PL1YciLdwMbydt21Ax85iZXXyGSrKT2BE,952,1541,47306,475997363971.0,12219964252.0,0.0,normal
152,KT1FG63hhFtMEEEtmBSX2vuFmP87t9E7Ab4t,1845,2621,43026,1573487806838.0,20873059269.0,0.0,normal
153,tz1TDSjPFStYcD8cr4JyWyyqwBt1M9WARvme,2034,3,35037,7984464031.0,63904596.0,0.0,normal
154,tz1S1Aew75hMrPUymqenKfHo8FspppXKpW7h,538,67,38451,533247780257.0,30000000000.0,0.0,normal
155,tz1TDSDUUe2Pc5UqR7ZKmyS5URaL6EdtEh1b,2096,5,43670,1699797082932.0,34000000000.0,0.0,normal
156,tz2FqBRA1yPQLo4JXfMCT1dFWbFpFE4Tq3bm,17933,2944,39083,18417600732733.0,1000000000000.0,467.0,normal
157,tz1TDSahjxEYPazcsrzxyX2gHqTzFvkcwUrP,2064,4,37083,18961475526.0,156942694.0,0.0,normal
158,tz1Q8QkSBS63ZQnH3fBTiAMPes9R666Rn6Sc,1164,27,96054,220217794974.0,10244124000.0,0.0,normal
159,tz1Zrqm4TkJwqTxm5TiyVFh6taXG4Wrq7tko,3186,9,250504,827089824836.0,65000000000.0,0.0,normal
160,KT1WBLrLE2vG8SedBqiSJFm4VVAZZBytJYHc,935,1363,30432,491100991000.0,4979381221.0,0.0,normal
161,tz1g6a2CVkkDbVb1JQMiQnSXjuPUkqNU8MYp,78,40,33042,2489606895411.0,10000000000.0,0.0,normal
162,tz1TDSWesFo3EAzSUEyYJosdP9hRbDxk94Ua,2106,3,37789,101414864368.0,319907050.0,0.0,normal
163,tz1LXaBkg3gZLVyB2awuboPAi6CnWxT4bCMt,1037,5,63997,97824594593.0,284439391.0,0.0,normal
164,KT1VoZeuBMJF6vxtLqEFMoc4no5VDG789D7z,775,2143,58548,23198576224.0,170000000.0,0.0,normal
165,tz2WDATNYnp7FdsmuZDYSidioZqeoLNZqXvE,18870,9350,41064,77762913907434.0,5239933000000.0,0.0,normal
166,KT1JdufSdfg3WyxWJcCRNsBFV9V3x9TQBkJ2,1356,1361,190200,3027839573576797.0,1346829137346.0,0.0,normal
167,tz1TzHDLTNK1J1fCotGBLuE43DoogC5pHGyT,488,9,51281,451105975853.0,49000000000.0,1.0,normal
168,tz1VQnqCCqX4K5sP3FNkVSNKTdCAMJDd3E1n,1587,10,98557,2965665346315.0,445656000000.0,0.0,normal
169,KT1WsKJqDiUr1mBSPbpjUfsEfGQiUk1wuCLd,885,3,57113,399790819978.0,2670515280.0,1.0,normal
170,KT1HUnqM6xFJa51PM2xHfLs7s6ARvXungtyq,12,835,37002,0.0,0.0,0.0,normal
171,tz1c5wM9826YcUNQ8a17z9eUYpKQ3oW3zfmJ,1,3,623973,0.0,0.0,0.0,normal
172,tz1PFeoTuFen8jAMRHajBySNyCwLmY5RqF9M,1362,14,64411,36845378875.0,360000000.0,0.0,normal
