,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
257,io15qr5fzpxsnp7garl4m7k355rafzqn8grrm0grz,3317,3097,687175,2.2332178037722126e+27,3.62507407609964e+25,0.0,normal
258,io1zaxftqt3w4qvvuvmwqafmlcjty0uadqu9djmy8,16,9,28044,2.586903048048178e+23,1.5722e+22,0.0,normal
259,io1lwxkprhnt3ef2qwt2evmdvlxf0hfc35vazlfu7,36,7,11844,5.800435190595443e+22,2.8e+21,1e+16,normal
260,io146r64l3l7pgwdwvs0kvvklmltgr5lwzd6uttk9,42,24,41314,4.866217950584149e+24,3.002e+23,0.0,normal
261,io1nkre4gmka5q8nsxr5zrysyg2r53jzv7yq0lyyc,12,7,11974,2.2753250564031413e+25,1e+23,1e+16,normal
262,io104laenc5830j29dzy5v0l8mxfv4uq7n57s6ne9,3,2,62687,5.098262566637142e+22,6.55e+21,1e+16,normal
263,io1rhnwa7hnay8hmvzdwm8ua8s32rygv6cr7lskgn,7,6,58575,2.408324984474219e+23,4.6e+21,1e+16,normal
264,io1482v4zxfxka0gykydyc493h4hl3dyjttam2kme,3,4,10115,2.60369499996e+21,1.11213e+19,1e+16,normal
265,io1x35xfmzrk6kwa7tscm2hpn6zhg0w8uyzemn98u,5,4,14211,1.0023338316085189e+23,1.0044337067655405e+22,1e+16,normal
266,io157suzukewg96wd7lxauv3ggdupyu0qpvfylhh8,21,15,25640,1.546985956384879e+23,1.229e+22,1e+16,normal
267,io1ysxz2n4ctq0a4z2zn4r0pw4gh8dsym0eyn59m9,5,6,10684,3.421095573e+21,3e+20,1e+16,normal
268,io1084r57gyuv49ca3ftj7ndwkqtpfnq2ur88jrgu,12,9,67849,4.1129777515318895e+23,2.62e+22,1e+16,normal
269,io1tths2vfav6j4v0c76m960qtgdj9xj2gpu7d9dy,17,5,24339,3.7321244878638004e+23,8e+22,1e+16,normal
270,io1w49qr9d9s2nxqj0p0l54ra94v273ayrq584pjp,11,8,15772,2.3882051781480328e+23,4.475402833e+22,1e+16,normal
271,io1zhnzq66xzdygqj9y4vufcqkfadjgnxumh0w55u,6,3,10890,3.273970780201155e+22,5e+21,1e+16,normal
272,io1eqpfldajde5rqdf7jdu9256pgfu7unq6r76x57,22,17,12101,6.9715336495907e+23,1e+22,8248999814184387.0,normal
273,io1s6xyu2wa8aa4544akktfd5sl5uzw2qgry2e5ag,11,6,136496,4.598027022412458e+22,1.434e+21,1e+16,normal
274,io1f6gm4g5md2jm8qvz3xuff0carvzpsjstmrthn5,15,16,115917,1.4403149178407115e+23,3e+21,1e+16,normal
275,io1n2m24ncx47nyk3arw6kqe4lm3j20kd6qt3pa53,6,4,14811,3.4806200013202222e+25,3e+22,1.001e+16,normal
276,io18vpukxujpj25gczfyx7c42qjk7jdjncgjxj9p0,7,6,14173,4.002229887e+21,5e+19,1e+16,normal
277,io1e7m3auk2z3xqfwklxwsgq98gya8vd56hl37e2j,11,8,34988,1.1103460325041372e+26,2.5e+23,1e+16,normal
278,io1japt7sdel4qhgwcz9xzddf3zrvsj0x2wuve8ws,6,4,11349,4.8870113e+21,6.6e+20,1e+16,normal
279,io1jfl8emgempxe553v5df64tnqnhz6dqwhmced54,4,3,12020,5.2226316024617774e+22,5.9e+21,1e+16,normal
