sender,tot_transactions,out_degree,in_degree,total_amount,max_amount,min_amount
tz1PWtaLXKiHXhXGvpuS8w4sVveNRKedTRSe,86105,190,72,927817200010,1800000000,0
KT1R5dHqnpeKVFow9mErfN763RFfe51vmiB8,419340,2,1612,0,0,0
KT1Jr5t9UvGiqkvvsuUbPJHaYx24NzdUwNW9,122486,2,121,0,0,0
tz1VCP3MQdfxtRc83CRJZX43wc1oZUxb6KmH,334554,4359,3,195123596200,511000000,1
KT1BJ5udeRJy4JsZ7uwYYeZb6GtCGj2aVzpb,76484,2,2518,0,0,0
KT1FFE2LC5JpVakVjHm5mM36QVp2p3ZzH4hH,144670,773,1539,4207651800,3656160100,0
tz1U7xSdkqfv2Q4WHp9x6e1kv8FoE31kgimv,63969,5,3,0,0,0
KT1XXAavg3tTj12W1ADvd3EEnm1pu6XTmiEF,73658,11,1474,0,0,0
tz1ch7nvDDAchbAPfTio3yBsdvN1SZJZj1wY,31045,16457,12303,52724948262296,1748541000000,500000
KT191reDVKrLxU9rjTSxg53wRqj6zh8pnHgr,98422,1,56687,245381000000,800000000,1000000
KT1TnrLFrdemNZ1AnnWNfi21rXg7eknS484C,39128,13,562,0,0,0
KT1M234AC3kz9uQ9vse8caidhKUMrZ3S2YjN,49897,12,54,0,0,0
tz1TDSR4jhfb1LHeusVGMRBjZaLH6xAQWMfG,37633,2114,3,48162554802,4002370097,0
KT1Aq4wWmVanpQhq4TTfjZXB5AjFpx15iQMM,485022,37038,22072,0,0,0
tz1bxnm4UrKDq1kR8qfxYvnW6Czjhv1yRqPK,34052,467,170,19195705787,500000000,0
tz1PLNscHFFHxYZLXnaeSxDqnC7pvM5Ran6E,85097,2,2,1,1,0
tz1Y2bfsQAYHrWZpM1AwomYMw2KEtaJ5VMfU,53469,546,15,37547029357888,20909075267249,0
KT1X3zxdTzPB9DgVzA3ad6dgZe9JEamoaeRy,91269,8490,9751,1553222648032,17340180760,0
KT1XX3VQBrKpFtYicXyYnbzbZHfV654quP7x,46110,3,352,0,0,0
KT1GJBSMRGApA2DnSivs73Fhau6dbfP1Sntd,33717,884,8,618848924984,61094344999,1
KT1N2oby9tYmv5tjkGD1KyVzkDRCmgDkXgSD,130792,3350,3,174501497184,4200105000,0
tz1SPYBKccNws8uVdhrrSP9Q8QevX7MzkMRx,202414,200,94,1424676358253,330000000,0
tz1Xs1sGyKEKHt1anVWkd7ov2qNufFLMrFrE,76800,76799,3,9815228103,500000,1
tz1dutchdwnVhsR7HB7HGWdDBZsHQdzrMDuk,41644,503,5,411546330499,20000000000,1
tz1ZmRNg15UZVoM1wE89umMiE35Ff4ZAnKqw,44700,143,27,30491772442,500000000,0
KT1TnTr6b2YxSx2xUQ8Vz3MoWy771ta66yGx,59010,1,57896,0,0,0
tz1XTZM55hF7g98CzY88MXWhmK8QioGXHtuY,331969,3288,12,807155345545,41000000000,1
tz1irJKkXS2DBWkU1NnmFQx1c1L7pbGg4yhk,44996,270,15,12099392866243,500000000000,1
KT1WvzYHCNBvDSdwafTHv7nJ1dWmZ8GCYuuC,3974622,58442,57441,16706769474438,72625000000,0
tz1Panda7oxUQGUfaGZNhGi35YxpZ3BA8H9F,88692,714,4,394848004545,823800000,26
tz2BruKv848x7gBy7rCJRNPrmMqW73SVXbAQ,32485,1146,13,24060603479,306000000,0
tz1d4h4uXeK1boArPdDNHHBAXdBntb5P3ZSN,76664,161,73,1053597879443,1800000000,0
tz1LJycSuCT25AA5VJwNW1QYXVGyy7YLwZh9,41566,816,9,19219676261,627480000,0
tz1am2nmU1cJmoPViB6MDM6kQHU6LAivipay,115079,2587,5,58035038523,1000000000,0
tz1gNjyzyT8L6WgNS4AdNMppsSFw76J4aDvT,119811,67268,21457,132023864428351,780357644154,1000000
tz1icYb3y2M4LGTCoAJMvyQAvpqvaaCbzTzc,44592,66,38,754042934122,874775776,0
