sender,tot_transactions,out_degree,in_degree,total_amount,max_amount,min_amount
KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,1284919,6642,12128,3282637168446,8250000000,0
KT1EtjRRCBC2exyCRXz8UfV7jz7svnkqi7di,114027,1597,2441,2410392484046,10405931853,0
tz3adcvQaKXTCg12zbninqo3q8ptKKtDFTLv,144469,1117,21,2712122529061,349999000000,657
KT1H5b7LxEExkFd2Tng77TfuWbM5aPvHstPr,112067,601,1120,1561661902550,19791255079,0
KT1NN1NgmKFTW5FUWiyxVjUt3kH9bCiqgxLW,75138,19,103,0,0,0
KT1GePvufEGURxst4KwRX3jbvTgreHJo72it,217514,3,728,0,0,0
KT1Pyd1r9F4nMaHy8pPZxPSq6VCn9hVbVrf4,255449,6,1599,1017174748660,11217724600,0
KT1Gdix8LoDoQng7YqdPNhdP5V7JRX8FqWvM,63451,2851,4405,2727736618318,19105530124,0
tz1ioKtFngSzMg1eXwWu8d1YcBgAoCZeSycU,36464,317,7,154010302834,3300000000,1
tz1e4N6UZzrjoxKbsJoLnxuBy6DfZu4voiTV,98316,54257,19184,131888910707372,1000000000000,7
tz1fg4gu3agTw4BYwySKAq5cMYMnw6wfqrQx,72634,618,38,39172012731,1000110000,0
tz1TDSNJcq2sKtxjRBdMoqkr72yaVWFJiTrN,37791,2090,3,65357910477,370945135,0
KT1XutoFJ9dXvWxT7ttG86N2tSTUEpatFVTm,43194,10,799,0,0,0
KT1JeWiS8j1kic4PHx7aTnEr9p4xVtJNzk5b,39438,3,622,0,0,0
tz1TGGgh4SdHuPxbxGJiQKif6pUPFULayt6s,60454,2,2,0,0,0
tz1LEwKokf48BDXX6dAnfCt73GWj6LASKcff,88469,172,76,682203724727,2171764117,0
tz1UCFixZ2aZg4FJezcNtT5U6XLJ57b3yyPN,123472,161,52,629267479579,305000000,0
tz1c9HEyZdAWXZCLE7h3KcZCyykjZr7VY3QM,235642,3104,13,2138669645680,3544424625,0
tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,9643101,82261,18,3873117213990,26492000000,0
tz1NsLemTeta4tkArFLfLTyzR6i17jchh8wP,150344,3,2,0,0,0
tz1imZ4ZKk9ukiU9GdLLvmsAhCVuznfTyjKD,35780,682,5,11160422708,49122850,1
tz1XVBuWfdFpWCiMvsEV8KEX2nkMHN3mfuHJ,49578,714,7,46004439410,1500000000,0
KT19Dskaofi6ZTkrw3Tq4pK7fUqHqCz4pTZ3,48205,11,924,0,0,0
KT1UNe7oZdmYmZtGAPtGxqLModxSuRSBLbDT,50703,1,333,0,0,0
KT1HbQepzV1nVGg8QVznG7z4RcHseD5kwqBn,11948435,33848,78595,8697277785938,27419875000,0
KT1GRSvLoikDsXujKgZPsGLX8k8VvR2Tq95b,40415,28,8465,0,0,0
KT1X1LgNkQShpF9nRLYw3Dgdy4qp38MX617z,470003,5574,7459,19128324718689,112147515324,0
KT1Mqx5meQbhufngJnUAGEGpa4ZRxhPSiCgB,131587,369,8,372274993179,257050281000,0
KT1QqjR4Fj9YegB37PQEqXUPHmFbhz6VJtwE,91980,2,2515,1000000,1000000,0
